jre11-openjdk 11.0.15.u10-2
jre11-openjdk-headless 11.0.15.u10-2
js78 78.15.0-4
json-c 0.16-1
json-glib 1.6.6-2
jxrlib 0.2.4-1
kaccounts-integration 22.04.2-1
karchive 5.95.0-1
kauth 5.95.0-1
kbd 2.5.1-1
kbookmarks 5.95.0-1
kcmutils 5.95.0-1
kcodecs 5.95.0-1
kcompletion 5.95.0-1
kconfig 5.95.0-1
kconfigwidgets 5.95.0-1
kcontacts 1:5.95.0-1
kcoreaddons 5.95.0-1
kcrash 5.95.0-1
kdbusaddons 5.95.0-1
kdeclarative 5.95.0-1
kdeconnect 22.04.2-1
kded 5.95.0-1
kdenlive 22.04.2-2
keepassxc 2.7.1-1
keyutils 1.6.3-1
kfilemetadata 5.95.0-1
kglobalaccel 5.95.0-1
kguiaddons 5.95.0-1
ki18n 5.95.0-1
kiconthemes 5.95.0-1
kio 5.95.0-1
kirigami2 5.95.0-1
kitemviews 5.95.0-1
kjobwidgets 5.95.0-1
kmod 30-1
knewstuff 5.95.0-1
knotifications 5.95.0-1
knotifyconfig 5.95.0-1
kodi 19.4-5
kpackage 5.95.0-1
kpeople 5.95.0-1
kpeoplevcard 0.1-1
krb5 1.19.3-3
kservice 5.95.0-1
ktextwidgets 5.95.0-1
kwallet 5.95.0-1
kwayland 5.95.0-1
kwidgetsaddons 5.95.0-1
kwindowsystem 5.95.0-1
kxmlgui 5.95.0-1
l-smash 2.14.5-2
lame 3.100-3
lapack 3.10.1-1
lcms2 2.13.1-1
ldb 2:2.5.1-1
ldns 1.8.1-1
lensfun 1:0.3.3-1
less 1:590-1
lf 27-1
libabw 0.1.3-3
libaccounts-glib 1.25-7
libaccounts-qt 1.16-3
libaio 0.3.113-1
libao 1.2.2-5
libappimage 1.0.4.5-2
libappindicator-gtk3 12.10.0.r296-2
libarchive 3.6.1-1
libass 0.16.0-1
libassuan 2.5.5-1
libasyncns 1:0.8+r3+g68cd5af-1
libatasmart 0.19-5
libatomic_ops 7.6.12-1
libavc1394 0.5.4-4
libavif 0.10.1-2
libavtp 0.2.0-1
libb2 0.98.1-2
libblockdev 2.27-1
libbluray 1.3.1-1
libbpf 0.8.0-1
libbs2b 3.1.0-7
libbsd 0.11.6-2
libburn 1.5.4-1
libbytesize 2.7-1
libcaca 0.99.beta20-1
libcacard 2.7.0-2
libcanberra 1:0.30+r2+gc0620e4-1
libcap 2.64-1
libcap-ng 0.8.3-1
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
libcdr 0.1.7-4
libcec 6.0.2-3
libcheese 41.1-2
libcloudproviders 0.3.1-2
libcolord 1.4.6-1
libconfig 1.7.3-1
libcue 2.2.1-2
libcups 1:2.4.2-3
libcurl-gnutls 7.84.0-1
libdaemon 0.14-5
libdatrie 0.2.13-1
libdbusmenu-glib 16.04.0-5
libdbusmenu-gtk3 16.04.0-5
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libdc1394 2.2.6-2
libdca 0.0.7-1
libde265 1.0.8-2
libdispatch 5.5.0-1
libdrm 2.4.111-1
libdv 1.0.0-9
libdvbpsi 1:1.3.3-2
libdvdnav 6.1.1-1
libdvdread 6.1.3-1
libe-book 0.1.3-11
libebml 1.4.2-2
libebur128 1.2.6-1
